ID,bucket,sex,spawned,length,width,depth,umol O2,ATPase,stage
L-C-086,9,m,y,45,54,33,19.60953401,2.163287361,4
L-C-087,9,m,n,40,45,28.5,8.626373614,1.968261965,4
L-C-088,9,m,n,40.5,50.5,28,17.90306962,1.872087408,3
L-C-089,9,m,y,32.5,41,24,19.40656869,2.013460375,4
L-C-090,9,m,n,41,47.5,27,1.708155261,1.404284145,4
L-C-091,9,m,n,42,50,31,0.88709853,#N/A,
L-C-092,9,f,n,39.5,46.5,27,24.216559,1.290428,5
L-C-093,9,m,y,42.5,51,31,-0.345231563,1.009516701,
L-C-094,9,f,n,41,49,29,1.66091779,1.539400086,4
L-C-095,9,m,n,42.5,52.5,29,1.671260345,1.728565991,4
L-C-096,9,f,n,43.5,53,29,24.16095484,1.888067988,3
L-C-097,10,m,n,34,42.5,25,1.833054017,#N/A,
L-C-098,10,m,n,46.5,56,31,17.41239824,2.04319176,
L-C-099,10,m,y,34.5,44,24,18.31653564,2.229841375,4
L-C-100,10,m,n,42,48.5,30,35.47293074,#N/A,4
L-C-101,10,f,n,36,45.5,25,17.32036023,1.951275046,3
L-C-102,10,m,n,45,52.5,32,8.668319753,1.949695022,3
L-C-103,10,m,y,46,55,31,5.448942001,2.150307798,4
L-C-104,10,m,n,42,50,34.5,,#N/A,
L-C-105,10,m,n,52,62,35.5,25.24804021,1.563884818,4
L-C-106,15,m,y,48,56.5,32,12.97383425,1.470806026,3
L-C-107,15,f,n,39,46.5,28,21.77682762,#N/A,
L-C-108,15,f,n,46,57,33,8.901938363,#N/A,3
L-C-109,15,m,n,48,59.5,32,25.46754122,1.491793722,4
L-C-111,15,m,n,39,49,27,23.06151871,#N/A,
L-C-112,15,f,n,45,53,32,4.591788557,1.586422867,3
L-C-113,15,m,n,39.5,49,28,28.22316593,#N/A,4
L-C-114,15,m,y,44,51.5,30,23.62382044,1.739480729,4
L-C-115,15,f,n,.,.,.,,#N/A,
L-C-116,15,m,n,41.5,48,26,3.401763565,1.898805376,4
L-C-117,16,m,n,39.5,48.5,29,-0.281419804,1.809078064,3
L-C-118,16,m,n,40,50.5,29.5,34.92760342,#N/A,4
L-C-119,16,f,n,.,.,.,,#N/A,
L-C-120,16,m,y,41,51,30,19.75185473,1.710392763,4
