If,species,treatment,bucket,sex,spawned,spawndate,length,width,depth,mort_date,mort,histo_tissuesampled,dry weight,umol O2,ATPase,stage
M-C-1,manila,C,1,f,n,.,41.5,59,30,,n,n,y,23.66010937,,
M-C-2,manila,C,1,m,n,.,39,56,30,,n,y,,14.53631317,1.263122605,5
M-C-3,manila,C,1,f,n,.,42.5,60,32,,n,n,y,28.75888119,,
M-C-4,manila,C,1,m,n,.,38.5,54,27.5,,n,y,,17.71349837,,4
M-C-5,manila,C,1,m,y,9-May-22,35,48.5,26,,n,y,,30.29478448,,
M-C-6,manila,C,1,m,n,.,43.5,58,30,,n,y,,0.738221206,,3
M-C-7,manila,C,1,f,y,9-May-22,36,53,27.5,,n,y,,25.23748013,,4
M-C-8,manila,C,1,m,n,.,37,52,28,,n,y,,24.17404147,1.43794891,3
M-C-9,manila,C,1,m,n,.,40,52,30,,n,n,y,24.47037201,,
M-C-10,manila,C,1,m,n,.,38.5,56,28,,n,n,y,25.08250562,,
M-C-11,manila,C,1,m,n,.,39,54.5,29,,n,y,,15.20162365,,4
M-C-12,manila,C,2,f,n,.,42,56,31,,n,y,,11.81220859,1.57263177,3
M-C-13,manila,C,2,m,n,.,39.5,55,29.5,,n,y,,15.76269712,1.527082337,4
M-C-14,manila,C,2,m,y,9-May-22,37,53.5,28.5,,n,y,,0.930935136,1.331681024,4
M-C-15,manila,C,2,m,n,.,42,58,31,,n,y,,,1.803527981,
M-C-16,manila,C,2,m,y,9-May-22,39.5,52.5,28.5,,n,y,,20.10478617,1.868653664,4
M-C-17,manila,C,2,f,n,.,37.5,50.5,26.5,,n,y,,4.11334622,1.343448058,3
M-C-18,manila,C,2,f,n,.,37,52.5,25.5,,n,y,,10.22770699,1.56411035,
M-C-19,manila,C,2,f,n,.,39,55.5,27.5,,n,y,,14.53649931,1.739918,3
M-C-20,manila,C,2,m,n,.,36.5,49,27,,n,y,,15.39218791,1.676383848,3
M-C-21,manila,C,2,f,n,.,41.5,56,31,,n,y,,12.47984673,1.535325475,
M-C-22,manila,C,2,m,y,9-May-22,34.5,48,25,,n,y,,17.74329439,1.447268232,4
M-C-23,manila,C,7,m,y,9-May-22,38.5,53,28.5,,n,y,,4.134480113,1.607280856,5
M-C-24,manila,C,7,m,n,.,40.5,56,28.5,,n,y,,17.09095867,,3
M-C-25,manila,C,7,m,n,.,37,49,27,,n,y,,26.50217362,2.378431607,4
M-C-26,manila,C,7,f,n,.,41,53.5,31,,n,y,,18.65229456,1.602060637,3
M-C-27,manila,C,7,f,y,9-May-22,31,45.5,24,,n,y,,11.11056555,1.193699385,3
M-C-28,manila,C,7,f,n,.,37.5,50,28,,n,y,,11.81810931,2.281875916,3
M-C-29,manila,C,7,f,y,24-May-22,34,48,26,,n,y,,16.74603375,1.517011745,3
M-C-30,manila,C,7,m,n,.,35.5,50.5,28,,n,y,,12.25254537,1.459638733,4
M-C-31,manila,C,7,f,n,.,35,50,26,,n,y,,10.5632761,1.61181455,
M-C-32,manila,C,7,f,n,.,37,53,27,,n,y,,10.4343076,1.666062417,
M-C-33,manila,C,8,m,n,.,40,55,28.5,,n,y,,25.51865367,1.878952014,4
M-C-34,manila,C,8,m,n,.,37.5,49.5,30,,n,y,,0.398984202,,4
M-C-35,manila,C,8,m,y,9-May-22,38,53,28.5,,n,y,,18.37678471,2.124798,3
M-C-36,manila,C,8,m,n,.,34.5,45,25,,n,y,,15.02430534,1.14171123,4
M-C-37,manila,C,8,m,n,.,41,53,32,,n,y,,26.05615229,1.657633671,4
