sample,date,ph_with_correction,alkalinity,spectrometery_temperature ,salinity,insitu_temperature
B1,3/12/2022,7.652262278,1982.511,25,29,10
B2,3/12/2022,7.653263056,1982.511,25,29,10
B3,3/12/2022,7.646783889,1982.511,25,29,10
B4,3/12/2022,7.652262278,1982.511,25,29,10
B5,3/12/2022,7.643684133,1982.511,25,29,10
B6,3/12/2022,7.642991299,1982.511,25,29,10
B7,3/12/2022,7.624981243,1982.511,25,29,10
B8,3/12/2022,7.644992869,1982.511,25,29,10
B9,3/12/2022,7.670613165,1982.511,25,29,10
B10,3/12/2022,7.644350839,1982.511,25,29,10
B11,3/12/2022,7.670455308,1982.511,25,29,10
B12,3/12/2022,7.669944247,1982.511,25,29,10
B13,3/12/2022,7.644992869,1982.511,25,29,10
B14,3/12/2022,7.67906274,1982.511,25,29,10
B15,3/12/2022,7.624981243,1982.511,25,29,10
B16,3/12/2022,7.67906274,1982.511,25,29,10
H1,3/12/2022,7.67906274,1982.511,25,29,10
H2,3/12/2022,7.67906274,1982.511,25,29,10
H3,3/12/2022,7.688192239,1982.511,25,29,10
H4,3/12/2022,7.670291441,1982.511,25,29,10
