ID_sort,umol_L,length,width,depth,mass
L-C-086,19.60953401,45,54,33,2.152046585
L-C-087,8.626373614,40,45,28.5,1.36847997
L-C-088,17.90306962,40.5,50.5,28,1.53031943
L-C-089,19.40656869,32.5,41,24,0.844474882
L-C-090,1.708155261,41,47.5,27,1.40326447
L-C-091,0.88709853,42,50,31,1.742769319
L-C-092,24.216559,39.5,46.5,27,1.322161663
L-C-093,-0.345231563,42.5,51,31,1.799522976
L-C-094,1.66091779,41,49,29,1.557279112
L-C-095,1.671260345,42.5,52.5,29,1.732089867
L-C-096,24.16095484,43.5,53,29,1.790491211
L-C-097,1.833054017,34,42.5,25,0.956897299
L-C-098,17.41239824,46.5,56,31,2.166529956
L-C-099,18.31653564,34.5,44,24,0.965223881
L-C-100,35.47293074,42,48.5,30,1.634550877
L-C-101,17.32036023,36,45.5,25,1.087762959
L-C-102,8.668319753,45,52.5,32,2.027554693
L-C-103,5.448942001,46,55,31,2.104311132
L-C-104,,42,50,34.5,#N/A
L-C-105,25.24804021,52,62,35.5,3.081314822
L-C-106,12.97383425,48,56.5,32,2.3308918
L-C-107,21.77682762,39,46.5,28,1.354322069
L-C-108,8.901938363,46,57,33,2.323894217
L-C-109,25.46754122,48,59.5,32,2.455871896
L-C-111,23.06151871,39,49,27,1.376535328
L-C-112,4.591788557,45,53,32,2.047082833
L-C-113,28.22316593,39.5,49,28,1.446972244
L-C-114,23.62382044,44,51.5,30,1.820881879
L-C-115,,.,.,.,#N/A
L-C-116,3.401763565,41.5,48,26,1.3818242
L-C-117,-0.281419804,39.5,48.5,29,1.483933317
L-C-118,34.92760342,40,50.5,29.5,1.593324804
L-C-119,,.,.,.,#N/A
L-C-120,19.75185473,41,51,30,1.678489192
L-C-121,15.56053889,37,47,25,1.156247061
L-C-122,15.98418831,37,48.5,29,1.38856412
L-C-123,30.07089126,45,56,30.5,2.061728938
L-C-124,7.794325659,42,51,27,1.54569784
L-C-125,20.23074776,44,51,30,1.802981084
L-C-126,24.83050825,39.5,47.5,26.5,1.325643504
L-T-130,0.659920179,50.5,60,36,2.9356132
L-T-131,35.01952296,45,56,33,2.232600163
L-T-132,1.842675523,40,47,36.5,1.838240225
L-T-133,17.96321105,.,.,.,-0.0229
L-T-134,,34.5,45.5,23,#N/A
L-T-135,,37,45.5,26,#N/A
L-T-136,11.12727826,41,49,29,1.557279112
L-T-137,30.27605481,37,45,26,1.151229414
L-T-138,16.68363272,32,42,22,0.779055613
L-T-139,1.259058837,37,46,23.5,1.061915296
L-T-140,28.98585239,43,53,23.5,1.429681704
L-T-141,20.53922855,43,52.5,31,1.875194518
L-T-142,27.75420002,47,46.5,25,1.459001036
L-T-143,4.070402575,43.5,52.5,34.5,2.114058251
L-T-144,,38,51,28,#N/A
L-T-145,,.,.,.,#N/A
L-T-146,25.11059284,45.5,54,32,2.109572881
L-T-147,1.639998229,36,40,27,1.031619557
L-T-148,26.31331634,36.5,44,25.5,1.087844326
L-T-149,24.2956181,34,43,26,1.008077299
L-T-150,6.341470063,36,44,26,1.094109604
L-T-151,2.467187704,35.5,46,25,1.084372657
L-T-152,2.84104906,46,54,32,2.133006649
L-T-153,38.43952125,44,56,34,2.249307571
L-T-154,27.32855804,.,.,.,-0.0229
L-T-155,15.48465739,42,50,36,2.027554693
L-T-156,33.45205568,44,52.5,30.5,1.88800986
L-T-157,12.98285743,43,52.5,29,1.752736807
L-T-158,13.79924256,42,47,32,1.69036881
L-T-159,3.045129919,38.5,48,27,1.330400098
L-T-160,30.31916709,38,47,27,1.284997172
L-T-161,16.42187667,36,45,26,1.119496186
L-T-162,-0.381187323,46,57,32.5,2.288336728
L-T-163,26.07753723,47,59,35,2.609466141
L-T-164,20.58300863,44,52.5,31.5,1.950662642
L-T-165,0.881531093,44,53,33,2.06433269
L-T-166,3.10414069,43,53,30,1.831459621
L-T-167,34.25237148,39,47.5,27.5,1.358817609
L-T-168,27.63544086,39.5,52,29,1.592673866
L-T-169,1.691522184,40,51,29,1.581662164
L-T-170,11.56724587,41,52.5,30,1.72853005
L-T-171,20.99408081,45,55,33,2.192323374
L-T-172,0.541758639,40,49.5,27,1.42706439
L-T-173,-0.150679073,41,54,30,1.778570909
M-C-001,23.66010937,41.5,59,30,2.344240495
M-C-002,14.53631317,39,56,30,2.087892033
M-C-003,28.75888119,42.5,60,32,2.607373228
M-C-004,17.71349837,38.5,54,27.5,1.818217327
M-C-005,30.29478448,35,48.5,26,1.397027272
M-C-006,0.738221206,43.5,58,30,2.416444505
M-C-007,25.23748013,36,53,27.5,1.666298153
M-C-008,24.17404147,37,52,28,1.711591227
M-C-009,24.47037201,40,52,30,1.987097174
M-C-010,25.08250562,38.5,56,28,1.921451292
M-C-011,15.20162365,39,54.5,29,1.962528427
M-C-012,11.81220859,42,56,31,2.326698313
M-C-013,15.76269712,39.5,55,29.5,2.041654007
M-C-014,0.930935136,37,53.5,28.5,1.793769727
M-C-015,-61.89678123,42,58,31,2.410823253
M-C-016,20.10478617,39.5,52.5,28.5,1.880547801
M-C-017,4.11334622,37.5,50.5,26.5,1.592458649
M-C-018,10.22770699,37,52.5,25.5,1.571439529
M-C-019,14.53649931,39,55.5,27.5,1.894176914
M-C-020,15.39218791,36.5,49,27,1.531242733
M-C-021,12.47984673,41.5,56,31,2.298656667
M-C-022,17.74329439,34.5,48,25,1.30867024
M-C-023,4.134480113,38.5,53,28.5,1.849933786
M-C-024,17.09095867,40.4,56,28.5,2.054242057
M-C-025,26.50217362,37,49,27,1.552613182
M-C-026,18.65229456,41,53.5,31,2.167962564
